          Token         Lexeme
        Keyword       function
     Identifier            add
      Separator              [
     Identifier          first
      Separator              :
        Keyword           real
     Identifier         second
      Separator              :
        Keyword           real
      Separator              ]
      Separator              {
        Keyword         return
      Separator              (
        Keyword           real
       Operator              +
        Keyword           real
      Separator              )
      Separator              ;
        Keyword       function
     Identifier       subtract
      Separator              [
     Identifier          first
      Separator              :
        Keyword           real
      Separator              ,
     Identifier         second
      Separator              :
        Keyword           real
      Separator              )
      Separator              {
        Keyword         return
      Separator              (
        Keyword           real
       Operator              -
        Keyword           real
      Separator              )
      Separator              ;
      Separator              }
      Separator             %%
        Keyword           real
     Identifier          first
      Separator              ,
     Identifier         second
      Separator              ;
        Keyword            get
      Separator              (
     Identifier          first
      Separator              ,
     Identifier         second
      Separator              )
      Separator              ;
        Keyword           real
     Identifier          total
      Separator              ;
     Identifier            add
      Separator              (
     Identifier          first
      Separator              ,
     Identifier         second
      Separator              )
      Separator              ;
     Identifier       subtract
      Separator              (
     Identifier          first
       Operator              -
     Identifier         second
      Separator              )
      Separator              ;
Press any key to continue . . . 
